# WLTP single-cell simulation export
# WLTP source: data/wltp/wltp_class3_cycle.csv
# Ambient temperature [C]: 25
# Cells:
#   - NMC811 (NMC811, model: ohmic, capacity: 5 Ah)
#   - LFP (LFP, model: rc, capacity: 4.8 Ah)
#   - NCA (NCA, model: thermal, capacity: 4.5 Ah)
time_s	drive.accel_mps2	drive.distance_m	drive.phase_id	drive.speed_kph	LFP.current_a	LFP.heat_w	LFP.ocv_v	LFP.power_kw	LFP.rc_surface_voltage_v	LFP.soc	LFP.temperature_c	LFP.voltage_v	NCA.current_a	NCA.heat_rejection_w	NCA.heat_w	NCA.ocv_v	NCA.power_kw	NCA.soc	NCA.temperature_c	NCA.voltage_v	NMC811.current_a	NMC811.heat_w	NMC811.ocv_v	NMC811.power_kw	NMC811.soc	NMC811.temperature_c	NMC811.voltage_v
0	0	0	1	0	2.5	0.09375	3.7	0.00913164	0.00140625	0.999855	25	3.65266	3	0.00192892	0.099	4.15	0.012351	0.999815	25.0023	4.117	2	0.048	4.25	0.008452	0.999889	25	4.226
1	0	0	1	0	2.5	0.09375	3.69988	0.00913443	0.00263672	0.999711	25	3.65377	3	0.00382026	0.099	4.14981	0.0123504	0.99963	25.0046	4.11681	2	0.048	4.24986	0.00845172	0.999778	25	4.22586
2	0.454545	0	1	1.63636	4.36364	0.28562	3.69977	0.0157939	0.00476167	0.999458	25	3.61944	5.11364	0.00935026	0.287642	4.14961	0.020932	0.999314	25.0112	4.09336	3.61364	0.1567	4.24972	0.0152003	0.999577	25	4.20636
3	0.454545	0	1	3.27273	4.63636	0.322438	3.69957	0.0167648	0.00677442	0.99919	25	3.61593	5.40909	0.0154388	0.321841	4.14928	0.022122	0.99898	25.0185	4.08978	3.86364	0.179132	4.24947	0.0162393	0.999362	25	4.20311
4	0.454545	0	1	4.90909	4.90909	0.361488	3.69935	0.0177332	0.00868898	0.998906	25	3.61231	5.70455	0.0221126	0.35796	4.14893	0.0233098	0.998628	25.0265	4.08618	4.11364	0.203064	4.2492	0.0172766	0.999134	25	4.19984
5	0.454545	0	1	6.54545	5.18182	0.402769	3.69912	0.0186991	0.0105176	0.998606	25	3.6086	6	0.0293974	0.396	4.14856	0.0244954	0.998258	25.0353	4.08256	4.36364	0.228496	4.24892	0.0183122	0.998891	25	4.19655
6	0.454545	0	1	8.18182	5.45455	0.446281	3.69888	0.0196625	0.0122711	0.99829	25	3.60479	6.29545	0.0373189	0.43596	4.14817	0.0256787	0.997869	25.0448	4.07892	4.61364	0.255428	4.24861	0.0193461	0.998635	25	4.19325
7	0.454545	0	1	9.81818	5.72727	0.492025	3.69863	0.0206234	0.0139588	0.997959	25	3.60091	6.59091	0.0459021	0.477841	4.14776	0.0268597	0.997462	25.0551	4.07526	4.86364	0.28386	4.24829	0.0203783	0.998365	25	4.18993
8	0.454545	0	1	11.4545	6	0.54	3.69837	0.0215817	0.015589	0.997612	25	3.59696	6.88636	0.0551714	0.521642	4.14734	0.0280384	0.997037	25.0662	4.07159	5.11364	0.313791	4.24796	0.0214087	0.998081	25	4.18659
9	0.454545	0	1	13.0909	6.27273	0.590207	3.69809	0.0225375	0.0171687	0.997249	25	3.59294	7.18182	0.065151	0.567364	4.14689	0.0292148	0.996594	25.0782	4.06789	5.36364	0.345223	4.2476	0.0224374	0.997783	25	4.18324
